Message,sentimen_bert,sentimen_vader
klo isi pertamax turbo 15 liter brp poin om,neutral,neutral
hari doang y,negative,neutral
di seluruh indonesia kan,neutral,neutral
bener aje rugi dong,negative,neutral
periode 2 smpe kapan minsay,neutral,neutral
minimal berapa poin kak,neutral,neutral
enak banget dapat haji furoda,positive,neutral
gue mau emas donk,negative,neutral
semua ikut min,positive,neutral
gue barusan abis isi bensin poin banyak langsung aja tuker kupon undi,neutral,neutral
pernah ikut tidak menang2 hhmm,negative,neutral
suka kubur apa siksa kubur nih wkwkwk,negative,neutral
menang bakal umum sihh,neutral,neutral
untung bisa bmw,positive,neutral
id besok w catet spbunya banyak banget red carpet tutup suruh antri bareng pertalite minta struk alas mesin rusak g my pertminanya,neutral,negative
id noted barti besok kalau kota spbu pilih kasih tsb langsung saya dm,neutral,neutral
naik dong harga,positive,neutral
yuk weekend kopdar kopi darat kumpul bareng teman2,positive,neutral
gw si paling gass kalo temen udah ngerencanain touring,negative,neutral
gak pernah nongkrong kak jadi tau bahasa gaul apa aja huhuhuu,neutral,neutral
komunitas raider area cianjur dong aing mau join hehehe,neutral,positive
otw okeee tunggu waee,negative,neutral
speeding arti ngebuttttt jalan,negative,neutral
bahasa gaul jaman dulu yongkru ma men,neutral,neutral
tempat gue istilah cicacu arti kecil cantik lucu,positive,neutral
biasa kalo ketemu sama anak tongkrong nyebutnya ngab bang,neutral,neutral
kobra komuk beranta,neutral,neutral
min beat 2021 boleh minum bensin pertamax green 95,neutral,neutral
hallo kak kendara beat 2022 lebih cocok pakai pertamax 92 pertamax green 95,neutral,neutral
tak dukung dri jauh,negative,neutral
promonya guna mypertamina min,neutral,neutral
bayar bebas kan mesti pake linkaja,neutral,neutral
edassss mantap pis euy,positive,neutral
bonus double poin apa bakal terus lama weekend,negative,positive
belum pernah evoucher gimana tuh ada sempat lagi gak,negative,neutral
pas banget info pas hari sabtu hehe,negative,neutral
kangen lomba foto min,neutral,neutral
min kapan lagi gratis 1 liter bensin,neutral,positive
kak dapat double poin cuma pas sabtu aja kalo minggu dapet,neutral,neutral
pilih salah satu aja bisa dua2nya,neutral,neutral
tingkat selalu evaluasi rutin bulan 1x pom bensin kode 33 34,neutral,neutral
lhoo kok gor bulungan min,negative,neutral
gw sih asa banget mesin jadi performa maksimal,negative,neutral
pajero sport gw lebih gressss sejak minum pertamax,positive,neutral
sesuai hartidak lah,negative,neutral
powernya pertamax emang kaleng2 jossss,positive,neutral
sesuai kak jenis motor kalo mau minum pertamax,neutral,neutral
semotidak juara pro liga,negative,neutral
dukung full bang,positive,neutral
kalo gw bandingin dg bbm jenis pake pertamax lebih murah hemat,positive,neutral
angkat trofi yuk jpe,positive,neutral
sent you a msg,negative,neutral
jelas mudah erti,positive,neutral
awal senin bakso min,neutral,neutral
semangat boleh kendor tetep gasspoooll,positive,neutral
min pertamina delivery udah di surakarta,neutral,neutral
syukur si jabrik ane slalu kasih ron 92 wlpn full tank ahahaha,positive,neutral
ingfoooo diskon boskuh,positive,neutral
buat pp tempat kerja isi 90rb cukup buat minggu,neutral,neutral
update hartidak pertamax area jambi kak,neutral,neutral
gue pake pertamax soal males ngantri haha,negative,positive
really i never looked back,positive,neutral
poin kalo ditukar2 ap bakal hilang,negative,neutral
cara cek titik lokasi spbu support mypertamina gimana min,neutral,positive
inova gw always kasih turbo,positive,neutral
apa guna pertamax turbo bersih ruang mesin,neutral,neutral
semangat kerja biar isi turbo full tank,positive,neutral
enak banget manajin terus sama mimin,positive,neutral
mio temen pake pertamax turbo,neutral,neutral
temen tongkrong semua pake pertamax turbo,neutral,neutral
fizr ane 110cc pake pertamax turbo kok malah enak,positive,neutral
mas kalo kompresi 111 baik pakai bensin apa,neutral,neutral
nmax pake turbo aman bang,positive,neutral
pertamax turbo tari ringan bang kalo buat jalan jauh,positive,neutral
mesin bertenatidak lari kuda,negative,neutral
saran kak coba kasih jalur khusus bwt bayar cashless,neutral,neutral
beli voucher bbm apa kena admin,neutral,neutral
praktis n anti ribet cocok tuk gue jarang bawa dompet,positive,negative
nah gitu dong kaya gin gue demen,negative,negative
siaaaap cuzz isi bensin,negative,neutral
maksud gimana sih paham,negative,neutral
cuman bayar pake linkaja aja selain tidak,negative,neutral
tidak perlu antri lama bakar jutidak lebih sempurna,negative,neutral
bayar pake mypertamina biar lebih untung,positive,neutral
gue ngisi pertamax jadi sat set buang buang waktu,negative,neutral
enak kok mau yang susah sihh hehehe,negative,neutral
laku buat roda jutidak min,negative,neutral
enak lhooo jalan bebas hambat baru datang udah pulang,positive,neutral
pernah antri hampir tengah jam bikin kapookk,neutral,neutral
lama aku pake pertamax tidak mau antri panjang,positive,neutral
enduro lawan stin bin putra,neutral,neutral
maan kak jakarta stin bin putra kalau ngtidak salah kalo putri jakarta bin,neutral,neutral
hihang hoheng dlu kak biar panas,neutral,neutral
makanya kalo dideketin usah terlalu baper min,positive,neutral
pertamax green masuk min,neutral,neutral
maap mau tanyakk apa bayar pake debit,neutral,neutral
kaya gin boleh disia2kan,positive,neutral
promo sd kapan kak,positive,neutral
cashback ditunggu2 nih,positive,neutral
bayar apaa bakal tetep cashback,positive,neutral
hai kak maaf kait kendala kakak ke dm kak biar aku bantu kece terima kasih dodi,neutral,neutral
senyumin 5 detik bisa tidur malam,positive,neutral
rang dong minimal beli kak hehe,neutral,neutral
senyumin 5 detik bisa tidur malam,positive,neutral
di all spbu kan,neutral,neutral
go sean go,neutral,neutral
opo teh wkwkwkk,positive,neutral
koe nopo to,neutral,neutral
kalo undi haji furoda kapan min,neutral,neutral
udah menang menang,positive,neutral
kamu ikut,negative,neutral
gue udah punya kupon lumayan banyak yakali menang,neutral,neutral
barang siapa isi full tank malamsabtu niscaya hari sabtu bakal lebih semangat,positive,neutral
jalanjalan gunung biar fresh,positive,positive
bonus evoucher ada nyata,positive,positive
curug yookk,positive,neutral
wish me luck,positive,positive
mobil gpp asal dapat evoucher,neutral,neutral
besok ajak doi ngedate malam minggu,neutral,neutral
leyeh leyeh manjahh aja min,negative,neutral
arti baru hadiah evoucher aja umum kalo hadiah lain kapan,neutral,neutral
bakal undi live streaming gak,negative,neutral
semotidak aja dapatmayan buat isi bensin hehe,positive,neutral
kalo punya evoucher 500rb harus sekali isi langsung habis,neutral,neutral
selamat akhir pekan jtidak mimin,neutral,neutral
wajib nongki apa ada wkwkwk,neutral,neutral
my dad is the best ijin pergi pake motor balik balik bensin isi full simpel pol neng,neutral,positive
gue cuman tarik sama double poin aja,negative,neutral
bismillah kakak ini usah sedang buka lowong kerja ingin gabung dm ya kakak,neutral,neutral
gass sih gengs y,negative,neutral
wuuihh beli tiket gratis evoucher,positive,positive
waktu buka celengan xixixixi,neutral,neutral
min sdh trmasuk transportasi ga,neutral,neutral
minimal beli brp tiket apa ad batas,neutral,neutral
min mau tanya tiket masuk pas pre practice sd race hanya pas race,neutral,neutral
etanol 7 ar e7,neutral,neutral
molase tetes tebu,neutral,neutral
bioetanol guna pertamax green 95 asal hasil fermentasi limbah tetes tebu molase tetes tebu guna rupa produk samping sisa proses buat gula,neutral,neutral
tetes tebu molase,negative,neutral
fermentasi limbab molases tetes tebu guna bioetanol pertamax green 95,neutral,neutral
tetes tebu molase prak ifin,neutral,neutral
fermentasi limbah molases tetes tebu di guna bioetanol pertamax green 95,neutral,neutral
bioetanol pakai molase tetes tebu,neutral,neutral
bioetanol guna asal fermentasi limbah tetes tebu molase,neutral,neutral
molase tetes tebu,neutral,neutral
molases tetes tebu rupa hasil samping pabrik gula jadi pakai molases tetes tebu pengaruh produksi gula loh,neutral,neutral
kedelai malika min,negative,neutral
asal tebu di olah lalu fermentasi substrat sehingtidak jadi bioetanol,negative,neutral
molase tetes tebu,neutral,neutral
bioethanol molase tetes tebu,neutral,neutral
bahan bakar nabati bioetanol pertamax green 95 molase tebu fermentasi tetes tebu proses jadi etanol fuel grade,neutral,neutral
bahan bakar nabati bioetanol pertamax green 95 dari molase tebu,neutral,neutral
jawabanhya molase tebu,positive,neutral
molase tebu fermentasi tetes tebu,neutral,neutral
jawab tetes tebu,neutral,neutral
jawab molase tebu,neutral,neutral
molase tetes tebu,neutral,neutral
molase tebu jagung beras ketan ubi jalar singkong,neutral,neutral
p e l e r,neutral,neutral
molase tebu fermentasi limbah tetes tebu,positive,neutral
bahan bakar nabati bioetanol pertamax green 95 molase fermentasi tetes tebu di proses jadi etanol fuel frade,neutral,neutral
molase tebu yuk follow ikut,neutral,neutral
molase tebu yuk follow ikut sukses selalu id,positive,neutral
jawab molase tebu,neutral,neutral
bahan baku nya molase tebu,neutral,neutral
beli tiket pesawat aja dulu sama inap keburu mahal,negative,neutral
ah entr isi pertalite sama kaya udah2 coba supir2 tangki truk dibkasi kamera biar pas nyolok pertamax isi pertalite,neutral,neutral
cukup tidak mau isi pertamin,negative,neutral
mantapp ganti pertamax green mesin makin irit gacorr,neutral,neutral
bahan bakar molase tebu,neutral,neutral
molase tetes tebu nabilafitria,neutral,neutral
isi sama kayak pertalit,negative,neutral
beli 2 tiket boleh minimal trus zona a kok ada apa udah habis,neutral,neutral
asa vip tidak perlu antri wkwkk,positive,positive
molase tetes tebu,neutral,neutral
bagus mana pertamax green 95 pertamax tks,positive,neutral
jawab molase tebu fermentasi tetes tebu,neutral,neutral
maksutnya gmna kak,negative,neutral
maaf kak salah komen,negative,neutral
supra 125 tetap pertamax tetep irit tenaga,positive,neutral
supra 125 tim pertamax irit tenaga,neutral,neutral
min pertamax green konsumsi bahan bakar lebih baik pertamax 92 coba pertamax green ahkirnya balik ke pertamax 92 cara pakai sama on mazda 2 skyactive 2017 id,neutral,neutral
tetes tebu,negative,neutral
min 1 tiket masuk 3 hari mulai tgl 2729 september hanya laku 1 hari 1 kali masuk,neutral,neutral
paling trauma denger kata otw,negative,negative
ngisinya pom bensin dekat,neutral,neutral
jangan ngilang abis isi bensin,negative,neutral
klo udah full tank mau anterin kamu kmna aja hayuuu,neutral,neutral
sy perdana isi pertamax green,neutral,neutral
cara cek spbu ready pertamax gimana min,neutral,positive
mimin kalo isi bensin biasa siang or malamalasannya,negative,neutral
paling bisa urus gombal ngegombal biasa langsung to the points aja hehe,negative,neutral
sayang aku isi bensin dulu abis aku jemput kamu gitu lho misal nya,neutral,neutral
etanol 5 molase tebu,neutral,neutral
4 jam datang ke spbu,neutral,neutral
jawab molase tebu,neutral,neutral
isi bensin pertahsop apa bakal tetep cashback,neutral,neutral
si promosi nya cuman buat roda empat,negative,neutral
dibatasin cuman sekali per user,negative,neutral
akooh ken double poin bukan cashback,negative,neutral
hmm unduh ovo nih mudah lama make,negative,neutral
kudu isi saldo ovo gwdemi apa coba cashback,neutral,neutral
bro kata kmrn nanyain cashback mumpung nih,positive,neutral
min aku hipnotis sama tatapanmuu,negative,neutral
bisa beli tiket motogp skrng om,neutral,neutral
sisain satu kursi buat gueee,positive,neutral
min kalo bawa anak kecil pa kudu beli tiket double,neutral,neutral
yeayyy proses ijin cuti min,neutral,neutral
nunggu dibeliin tiket sama ayank aja deh,neutral,neutral
gw beli last time aja dah,neutral,neutral
paling murcee gak,negative,neutral
rambut bagus a beli,positive,neutral
spill hair treatmentnya dong min,neutral,neutral
min kok jarang lihat promo bayar via gopay,negative,neutral
gue udah pernah wkwkwk,neutral,neutral
lumayan cashback 15 rb,positive,neutral
spill kaos dong kak,positive,neutral
bro loe kan blg mau beli tiket motogp,neutral,neutral
tunggu gaji dlu min,neutral,neutral
pas banget waktu istirahat okee gue bakal liat live sesi nya,neutral,neutral
voucher bbm aja gapapa lah,negative,neutral
gue pasang alaram dulu,neutral,neutral
siaap pantengin min,negative,neutral
biasa undi tiap berapa bulan sih kak,neutral,neutral
wish me luck,positive,positive
ken hp baru euy,neutral,neutral
besok kerja kak bakal siar ulang gak,negative,neutral
sudah menang menang,positive,neutral
nanti kupon apa bakal hangus semua undi,neutral,neutral
jan lupa besok child,negative,neutral
modal 50 kupon moga2 hasil,neutral,neutral
ikut nyimak min,neutral,neutral
yg oenting jangan mahal lah kak 10rb aja harga,positive,neutral
doneketemu mandalika,negative,neutral
dah beli kemarin zona b,neutral,neutral
batas akhir beli kapan kak,neutral,neutral
ada duit min,neutral,neutral
lumayan jutidak tuh bonus,negative,positive
coba evoucher ganti sama merchandise min,neutral,neutral
ken bonus nya boneka aj tidak siii,positive,positive
looh preorder tiket motogp y,neutral,neutral
bingung mending beli skrng apa aja,negative,neutral
di aplikasi beli lewat mana,neutral,neutral
kalo beli tiket offline apa minsay,neutral,negative
ada rugi emang si jabrik minum pertamax worth it,negative,positive
laku kelipat sih kak tukar poin,negative,neutral
gw aja pernah dapetin cashback udah neng banget dapat mobil,positive,neutral
tuker2 poin gih mumpung inget,positive,neutral
gasssss minsemotidak kumpul banyak poin periode,neutral,neutral
allah semotidak pergi haji furoda,negative,neutral
wuihhh hadianya makin banyak,positive,neutral
min ada minimal tukar point ga,neutral,neutral
hadiah bikin ngiler min,positive,neutral
kandung ethanol besar 5 molase tebu,neutral,neutral
jelasin dulu kak pertamax green pake ron booster,neutral,neutral
bisa berkalikali cashback nya,negative,neutral
cashback poin kan,neutral,neutral
mumpung ada triple poin cepet2 isi turbo banyak,positive,neutral
min kalo mau beli tiket motogp udah dari sekarang,neutral,neutral
bromax next coba bahas komponen mesin sparepart dong,neutral,neutral
otw gas isi pertamax,neutral,neutral
bebas kan mw beli pertamax mana aj standar apa tetep dapat cb,neutral,neutral
mending cari pacar baru d,neutral,neutral
jaket keren bingitzz jd maoo,positive,neutral
topup saldo dulu,neutral,neutral
buat awet ban,positive,negative
min besok bakal promo weekend,neutral,neutral
terimakasih info kak sangat manfaat saya baru beli motor,positive,neutral
depan 33 belakang 40 nyimak ae lah,neutral,neutral
kalo tekan pas suka bikin goyang2,positive,neutral
gw sih paling penting asa keras pukul bunyi tung tung,negative,neutral
cek tekan ban baik minggu tiap berapa hari kak,neutral,negative
gpp minyg perlu rang tekan hidup,neutral,neutral
efek kurang angin motor asa banting buat nikung,neutral,neutral
kalo beli tiket sekarang evoucher min,neutral,neutral
makin mudah sekarang beli tiket sambil rebah,positive,neutral
gak di sia2kann,positive,neutral
kaya gin baru kereeennnn,positive,neutral
satu akun cuma beli maksimal 5 tiket min,neutral,neutral
sikaaaatt stock habis,negative,neutral
nonton motogp ngedate,positive,neutral
masuk murah cuman kalo kesana sendiri kurang seruuu min,negative,neutral
vr46 racing team,neutral,neutral
id coba jelasin kak makin tinggi ron makin bersih gas buang jangan sebut makin tinggi ron makin sempurna bakar sesuai kompresi mesin terus luar negri contoh aja beberapa negara eropa masih pakai ron 89 tetap penuh standar euro,positive,neutral
absen slalu isi turbo,neutral,neutral
enak siii lebih tenaga,positive,neutral
punten mau tanya ciri ciri spbu layan bayar pale myertamina gimana,neutral,neutral
mau cobain pertamax green ah nunggu abis dulu biar gue isi lgsg full tank,neutral,neutral
ayooo aja gue mah,negative,neutral
bener lebih ramah lingkung,positive,neutral
mending nonton drakor pas santaaaiii gin,neutral,neutral
im riding with you,neutral,neutral
mao jalan2 karnaval musik,neutral,neutral
pertamax green apa ada semarang kak,neutral,neutral
gw siap isi full green kalo ada cirebon,neutral,neutral
motor beat gue sekal isi turbo,neutral,neutral
happy weekend min,positive,positive
i pake pertamax turbo always,neutral,neutral
enak lari kenceng pake antri panjang,positive,neutral
cuzz langsung jalanjalan sekarang,positive,neutral
klo gue lebih neng riding malamdrpd siang,neutral,neutral
promosi spesial weekend om,positive,neutral
min kalo isi turbo brp poin per liter,neutral,neutral
my trip my adventure,positive,positive
min emg udah jual,neutral,neutral
froogkeren weekend pass udah sabtu sama minggu gmna,positive,neutral
gak salah selalu isi bahan bakar pertamax,neutral,neutral
kasih promo dong wkwk,positive,neutral
gue ikut vote tuh,neutral,neutral
bensin bangga harga cuuuyyy,positive,neutral
emang pake pertamax udah pilih paling bener mesin sehat pake ngantri panjang,negative,neutral
wooaaahh selamat min,positive,neutral
gen z tahu produk kualitas,neutral,neutral
dm tidak balas,negative,neutral
setujuuuu kalo mau mesin sehat n awat cukup isi pertamax,positive,neutral
tetep semangat kak jan kapok riding hehehe,negative,neutral
min apa beda pertamax green sama pertamax biasa,negative,neutral
paling kesel sen kanan belok kiri susah tebak,negative,neutral
kak kalo lagi ngobrol banyak jawab haahh,positive,neutral
polisi tidur paling ngeselin,negative,neutral
apa cuma gue helm kaca suka turun sendiri,negative,neutral
btw tiket motogp apa presale,neutral,neutral
pake led putih gimana kak bikin silauuuuu men,negative,neutral
triple poin sampe kapan,negative,neutral
maksimal isi berapa liter min,neutral,neutral
lumayan nih biar poin cepet2 banyak hehe,positive,neutral
siap siap bakal isi full tank,neutral,neutral
buat semua produk pertamax series,neutral,neutral
cihuuuyyyy bukan double poin langsung triple poin sekarang,positive,neutral
min apa kudu pake metode bayar tentu,negative,neutral
gass sih beb na1049,positive,neutral
mantap benerr dah,positive,neutral
gombalin tugas spbu v,neutral,neutral
mau push rank pubg tidak ckckck,neutral,neutral
ngelirik spion ngeliatin operator min,negative,neutral
ngitung saldo mypertamina min,neutral,neutral
tempat spbu nya gabung om,positive,neutral
pegangin tangan doi takut tinggal hehehe,negative,neutral
liat dispenser biasa gue mah,negative,neutral
jalur fast track andal gue browww,positive,neutral
ada diskon,positive,neutral
spill biar cepet banyak poin dong,positive,neutral
lebih seru liatin antri belah,positive,neutral
buat satu kali per akun boleh berkali2,neutral,neutral
siaaaap noted min,negative,neutral
yeayy dapet cashback nyaaa,positive,neutral
langsung isi bensin dong beneran cashback,neutral,neutral
knp sih ovo terus ewallet gabisa min,negative,neutral
beli khusus pake myertamina min,neutral,neutral
makasih banyak mimin,positive,neutral
sampe kapan promonya,positive,neutral
minimal transaksi biar dapet cashback,neutral,neutral
info pertamax green bagus buat beat karbu,positive,neutral
motor v160 enak bang pakai pertamax ijo lebih responsif,positive,neutral
bahan bakar baru pasti,negative,neutral
gak tau kak emang buat apa,negative,neutral
gw coba pertamax greenvdi nmax new enak cuy enteng,positive,neutral
tahan pertamax standar,negative,neutral
bbm bioetanol tebu kak,neutral,neutral
bikin bingung nama green identik sama ungu,negative,neutral
min apa bakal tambah jumlah spbu layan pertamax green,neutral,neutral
dr bahan nabati bener tuh,negative,neutral
kelas kota kecil kabupaten ada sedia,neutral,neutral
tiap bulan apa bakal reset,neutral,neutral
oke langsung cobain sekarang dehhh,positive,neutral
arti sering2 kirim gift orang dekat pp,neutral,positive
mantulsss boleh lewat seperti hihihi,neutral,neutral
akumulasi kan harus langsung isi voucher bbm 1jt,neutral,neutral
true kak gaji sore bisa sampe besok sore,neutral,negative
kejut saiiaaaa min,negative,neutral
coba sekal bikin konten helmet bromax heehee,negative,neutral
syarat apa aja biar voucher 100rb minsay,neutral,neutral
next bahas pertamax green dong bromax,neutral,neutral
semotidak kali gue untung,negative,neutral
hadiah banyak banget min,positive,neutral
kalo mobil jadi hadiah utama,positive,neutral
yamaha nmax nya buat berapa menang bang,neutral,neutral
makin semangat kumpul kupon,positive,neutral
gue udah kumpul banyak kupon whehehe,neutral,neutral
lebih tarik sama haji furoda,positive,neutral
satu kupon butuh berapa banyak poin,neutral,neutral
kupon udah milik apa bakal reset tiap periode,neutral,neutral
kalo menang langsung dipake jalanjalan keliling kota,positive,neutral
seruuuuu banget tahun lalu udah sini,positive,neutral
bro asrul11 tidak nih nonton motogp mumpung banyak promo dr mypertamina,neutral,neutral
semotidak nonton kak atur jadwal cuti,neutral,neutral
paling demen gw kl transaksi mypertamina sama bonus,positive,positive
lupa nukerin poin meluluhuhu,negative,neutral
min free evouchernya minimal beli ga,neutral,positive
asiikk diskon lumayan beli presale lebih murah,positive,neutral
bikin gw panggil libur lombok salah satu motogp mandalika,neutral,neutral
nunggu gaji dulu kak aman,neutral,neutral
gasss langsung spbu dekat,positive,neutral
min gue follow akun biar enggak tinggal info kayak gin,neutral,neutral
sering2 aja adain cashback,negative,neutral
buat guna baru,neutral,neutral
yah telaaaatt tadi gue abis isi bensin full,negative,neutral
min kalo udah pernah apa dapat,negative,neutral
isi turbo bakal double poin ga,neutral,neutral
kudu bayar ovo sii,positive,neutral
please promo di panjang terus kalo sampe akhir tahun deehh hihihi,negative,positive
enaaak banget kasih diskon mulu,positive,neutral
jawab tompi andien projectpop ikut yuk guyss,neutral,neutral
tompi andien enau,neutral,neutral
tompi projectpop andien,neutral,neutral
1 andien 2 tompi3 projectpop,neutral,neutral
tompi andien projectpop,neutral,neutral
andien project pop tompi,neutral,neutral
datar andien tompi turun project pop kuy,neutral,neutral
tompi andien projectpop,neutral,neutral
tompi andien projectpop ngikut gaesss,negative,neutral
tompi andien projectpop,neutral,neutral
project popandietompi yuk ikut,neutral,neutral
tompiandienprojectpop yuk ikut,neutral,neutral
jawab tompiandienprojectpop yuk ikut,neutral,neutral
1 projectpop2 tompi3 andienayoo gaes,neutral,neutral
jawab tompiandienprojectpop yuk ikut satria8,neutral,neutral
tompi projectpop andien jawab jangan lupa ikut ges,neutral,neutral
project pop tompi andien,neutral,neutral
tompi andien project pop yuk gasskan bondet,neutral,neutral
project pop tompi andien hayuuk sob,neutral,negative
yesss temu tompi project pop andien mauu bangeet pleasee nonton java jazz hari ketitidak bisa hadirr minn seruuu bangeeet sihh nyanyi bareng idolaidolakuuu ini yuuk ikutaan jugaa id,positive,neutral
jawab andien project pop tompi id pergi gunung buat kemahambil pisau di asahwalau menangin nya susahyang penting usaha berserahyuk ikut yolandaa semotidak rezeki untung berkah,neutral,neutral
jawab 1 andien 2 project pop 3 tompi semotidak rezeki yuk ikut di follow aku id nya terimakasih,neutral,neutral
andien project pop tompi,neutral,neutral
project pop andien tompi,neutral,neutral
andien tompi project pop dear id semotidak aku dapat tiket karna aku nge fan banget sama andie project pop my dream datang event paling pecah yuk sarangdigital id,neutral,positive
project pop andien tompi ikut yuk,neutral,neutral
tompi andien project pop yuk ikut rasyid vern98,neutral,neutral
telah temu jawab andien project pop tompi amin,neutral,neutral
bismillah motidak benar jawab andien project pop tompi,neutral,neutral
andien tompi project pop,neutral,neutral
1project pop 2andien 3 tompi wow seru nih kalo nonton tampil bertitidak bayang dah suara khas bikin candu yuk ikut biar nonton bareng id guys jjf 2024 gaes,positive,positive
project pop andien tompi,neutral,neutral
kalo temu andien project pop tompi,neutral,neutral
jawab tompi project pop andien id bismillah semotidak jadi salah satu pilih ken banget nonton java jazz 2024 nauraa,positive,neutral
tompi project pop andien yuk buru ikut ke java jazz gratis id loch,neutral,positive
aku keteemuu jawab adaa ka andien ka tompi project pop aaaaa neng banget kuisss iniii aku jadi ikutaann bismillah jadi salah satu pemenankeren ayoo ikutaann gaizzz id,positive,neutral
project pop tompi andien,neutral,neutral
jawab tompi andien project pop yuk ikut,neutral,neutral
tompi andien project pop,neutral,neutral
afgan andien project pop ade,neutral,neutral
tompi andien project popyuk ikut manteman wish me luck,neutral,positive
andien project pop tompi yuk ikut rumah mil bareng junaediniat hati mau minta manggamotidak pilih idbiar dapetin jjf hari tiga,neutral,neutral
1 tompi2 andien3 project popikutan yuk tementemen naik oplet ame pak parmin tujuannye rumah mpok rohayedoa usaha udeh dilakuintinggal mimin menangin aye,neutral,neutral
jawab andien project pop tompiikutan yuk sob semotidak semesta beri,neutral,negative
andien tompi project pop,neutral,neutral
jawab tompi andien project pop wish me luck ken seruseruan karena line up nya keren keren banget vanessa78,positive,positive
jawab 1 andien 2 tompi3 project pop,neutral,neutral
jawabanntidak andien projextpop tompi yuk,neutral,neutral
jawab andien project pop tompi yuk,neutral,neutral
jawab tompi andien project pop yuk ikut,neutral,neutral
jawab tompi andien project pop yuk ikut my dear id aku harap menang karna java jazz festival musik favorit aku aku temu idola musisi legend perform all out,positive,positive
id sama2 min,neutral,neutral
andien tompi project pop temenin yak,neutral,neutral
jawab project pop tompi andien hayuk rey ikut semotidak nonton java jazz hari tiga,neutral,neutral
tompi andien project pop ikut yuk seru bareng id java jazz festival 2024,neutral,positive
1 andien2 project pop3 tompiyuk ikut st,neutral,neutral
tompi andien project pop ramai yo ade jangan lupa follow id mg untung,neutral,neutral
andien ompi project pop,neutral,neutral
andien project pop tompi nauraa semotidak jadi salah satu pilih seruseruan sama id,neutral,neutral
andien tompi project pop ampun idola suka aku semua wish me luck biar nonton idola java jazz aamiin yuk ikut,positive,positive
project pop tompi andien semotidak menang aamiin labaika28,neutral,neutral
1 tompi2 andien3 project pop yuu ikut jutidak kuis,neutral,neutral
id semotidak ke java jazz tahun inu terimakasih kak sudahmengadakan kuis,neutral,neutral
jawab andien project pop tompi,neutral,neutral
jawab andien project pop tompiikutan kuy gaes,neutral,neutral
hai id jawab andien tompi project pop wish me luck mau banget healing java jazz,positive,positive
tompi andien project pop this is my last chance omg i really want to go to java jazz,neutral,positive
semotidak komen ku masuk jawab project pop andien tompi mau banget java jazz dong,neutral,neutral
tompi andien project pop gas guys buat java jazz nih,neutral,neutral
andien tompi project pop semotidak jawab benar semua hehe kuy,negative,neutral
lebih irit shell 92 pertamax 95 bahkan 98,positive,neutral
tompi andien project pop,neutral,neutral
yaaa silahkaan sajaa sheell skg d hargaa bedaa 2ribu liter maaah sama2 irit green 95 sama shell qoo sayaa sudaah guna nyaa,positive,neutral
